colonia_oficial,gentrif_map_score_mean,gentrif_local_mean,price_m2_median,marginalidad_mean,score_15min_mean,n_registros,lat_centroide,lon_centroide,cat_mean_vus_200m_col,cat_mean_antiguedad_200m_col,cat_mean_ratio_construccion_200m_col,gentrification_index_alcaldia
san juan de aragon 6a seccion (u hab) ii,0.7597806003401565,0.549712058855319,28571.428571428572,2.0,0.5144927536231885,3,19.466863633333332,-99.0631545,2741.3187832061217,39.28803103947926,1.1010646817267664,0.829803447501769
san juan de aragon 7 secc (u hab) i,0.7352406113504586,0.4515521028965275,22418.98148148148,5.0,0.3233695652173913,2,19.4752558,-99.07527575,2464.265225,41.713846153846156,1.0310560634979369,0.829803447501769
san juan de aragon 7 secc (u hab) ii,0.7366681091236624,0.4572620939893426,26379.310344827587,1.0,0.5271739130434783,3,19.4705793,-99.072308,2819.599999999999,40.996074360235646,1.116001927211528,0.829803447501769
san juan y guadalupe ticoman (barr),0.7605990760782474,0.5529859618076824,43780.0,3.0,0.15217391304347827,3,19.518942600000003,-99.12940406666667,1393.635974842767,42.68299028016009,0.9599801535317959,0.829803447501769
san pedro zacatenco (pblo),0.7379272049592436,0.4622984773316669,39120.68655462185,2.0,0.41521739130434787,10,19.50460607,-99.12208794,2351.9333988021544,39.39931354928963,1.509241994529284,0.829803447501769
santa isabel tola (pblo),0.7434500723135564,0.48438994674891866,34892.771929824565,2.0,0.4138586956521739,20,19.495535240000002,-99.11629507,2620.8225,40.65207192707477,1.168064071296746,0.829803447501769
santa rosa,0.7445187001995329,0.4886644582928245,24353.74149659864,4.0,0.23641304347826086,2,19.5223679,-99.16627795,2113.2764285714293,41.56472916269311,1.3295319613553307,0.829803447501769
santiago atepetlac,0.7354774245689543,0.4524993557705102,18837.28813559322,5.0,0.30434782608695654,6,19.523511533333334,-99.15992036666667,2221.737777777778,38.751964085297416,1.3272900158089305,0.829803447501769
santiago atepetlac (la selvita) (u hab),0.7356318789357036,0.4531171732375075,19892.47311827957,3.0,0.3641304347826087,3,19.5194858,-99.147971,2358.341775544389,31.55276381909548,1.9674752119533057,0.829803447501769
santiago atzacoalco (pblo),0.7586992223717006,0.5453865469814955,41632.65306122449,3.0,0.6322463768115941,6,19.500609400000002,-99.09477716666667,2048.2053574678334,31.887224858434166,3.05210622796697,0.829803447501769
siete maravillas,0.7497886993641821,0.5097444549514214,35225.70442783208,1.0,0.375,2,19.5132818,-99.14175195,3017.278352192362,38.75318379799093,2.089827722418087,0.829803447501769
