longitud,latitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,target_enc_colonia,ratio_precio_vecinal,gentrification_index,precio_predicho,error_pct
-99.2150977,19.4497398,Miguel Hidalgo,16600.0,553.3333333333334,30.0,1,1.0,6.078807842959604,1.322918068855189,0.8585849060226639,47382.613157453416,185.43742865935792
-99.2910617,19.3676032,Monte De Las Cruces,75000.0,333.3333333333333,225.0,3,3.0,5.325191526783378,1.2138537031365126,0.5,43673.65961296483,-41.76845384938023
-99.1752657,19.4237195,Paseo De La Reforma,31100.0,586.7924528301887,53.0,1,1.0,6.274275570474095,1.4481374823785214,0.5,17250.335220522928,-44.53268417838287
-99.190915,19.43353,Miguel Hidalgo,33100.0,945.7142857142857,35.0,1,1.0,5.672925736355826,1.880406009063412,0.8585849060226639,40267.053730839405,21.65273030465077
-99.1332,19.4326,Granada Amp,55000.0,523.8095238095239,105.0,2,2.0,5.38149849398209,1.7557754341681429,0.5,30383.556627167593,-44.7571697687862
-99.203542,19.4418608,Ampliación Granada,49500.0,412.5,120.0,2,3.0,5.34078431112849,0.951901515325179,0.5,37483.37934508458,-24.27600132306146
-99.1751325,19.4164895,Cuauhtémoc,56000.0,509.09090909090907,110.0,2,2.0,5.3310642074073975,1.0387919269693389,0.830531038273375,14425.010268442285,-74.24105309206735
-99.2350423,19.405709,Lomas De Reforma,31500.0,315.0,100.0,2,1.0,5.3431102015372804,1.1665979736897734,0.5,20322.13944135046,-35.48527161476044
-99.1906167,19.4071156,Miguel Hidalgo,35000.0,648.1481481481482,54.0,1,1.0,5.349708541558212,1.6339452756530082,0.8585849060226639,21113.342473703247,-39.676164360847864
-99.2014215,19.442902,Ampliación Granada,55000.0,523.8095238095239,105.0,3,2.0,5.3704029791787,1.05362368847953,0.5,37842.80633694394,-31.194897569192836
-99.1476839,19.4332704,Cuauhtémoc,42000.0,442.10526315789474,95.0,2,2.0,6.192051632825174,0.8144490749884203,0.830531038273375,59316.09246250766,41.228791577399186
-99.2082399,19.3320531,La Magdalena Contreras,47000.0,205.24017467248908,229.0,2,2.0,5.3464202637337985,0.9183560903206508,0.3233249370829295,19820.867071619636,-57.827942400809285
-99.2996246,19.3572429,Cuajimalpa de Morelos,48000.0,494.8453608247423,97.0,2,2.0,5.361096396813869,1.9848420734096837,0.49427437331671703,30716.498141182637,-36.007295539202836
-99.2102915,19.4425356,Miguel Hidalgo,68000.0,576.271186440678,118.0,2,2.0,5.619204376227851,1.6941450219644711,0.8585849060226639,60572.87581515427,-10.922241448302541
-99.2346423,19.3978414,Lomas Altas,6500.0,13.0,500.0,4,4.0,5.317190315921918,0.047774640139696234,0.5,21609.673227329822,232.45651118968956
-99.1515438,19.4312045,Cuauhtémoc,35600.0,508.57142857142856,70.0,2,2.0,6.178580101321312,0.9585301425748474,0.830531038273375,26672.178696724808,-25.078149728301103
